년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
22-Jan,133,-0.8,-5.9,5.2
22-Feb,133,0.1,-5.2,6.1
22-Mar,133,8.3,2.5,14.5
22-Apr,133,14.9,8.3,21.9
22-May,133,19.4,12.7,26.3
22-Jun,133,24.1,19.8,29.4
22-Jul,133,27,23.4,31.5
22-Aug,133,25.7,22.7,29.6
22-Sep,133,21.8,17.4,27.5
22-Oct,133,14.3,9.1,20.7
22-Nov,133,9.5,3.8,16.6
22-Dec,133,-2,-6.4,3.3
