년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
22-Jan,전국,-0.8,-6,5
22-Feb,전국,-0.1,-5.4,5.7
22-Mar,전국,7.7,2,13.7
22-Apr,전국,13.8,7.5,20.4
22-May,전국,18,11.5,24.6
22-Jun,전국,22.4,18.3,27.2
22-Jul,전국,25.9,22.5,30.3
22-Aug,전국,25.3,22.1,29.1
22-Sep,전국,21,16.6,26.3
22-Oct,전국,14,8.9,20.1
22-Nov,전국,9.6,3.9,16.5
22-Dec,전국,-1.4,-6,3.8
