년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
22-Jan,159,4,0,9.2
22-Feb,159,3.6,-0.5,8.8
22-Mar,159,10.5,6.8,14.8
22-Apr,159,14.9,11.4,19.1
22-May,159,19,15.3,23.4
22-Jun,159,21.7,19.4,24.9
22-Jul,159,26.2,23.7,29.7
22-Aug,159,26.4,24,29.7
22-Sep,159,22.9,20.2,26.9
22-Oct,159,17.6,14,22.7
22-Nov,159,14.4,10.4,19.8
22-Dec,159,3.3,-0.3,8.1
